Type,Direction,Value,BaseNode,BaseMember
MEMBER,UNI GZ,-0.1493,,7758
MEMBER,UNI GZ,-0.1493,,7759
MEMBER,UNI GZ,-0.1493,,7760
MEMBER,UNI GZ,-0.1493,,7761
MEMBER,UNI GZ,-0.1493,,7762
MEMBER,UNI GZ,-0.1493,,7763
MEMBER,UNI GZ,-0.1493,,7764
MEMBER,UNI GZ,-0.1493,,7765
MEMBER,UNI GZ,-0.1493,,7766
MEMBER,UNI GZ,-0.1493,,7767
MEMBER,UNI GZ,-0.1493,,7768
MEMBER,UNI GZ,-0.1493,,8854
MEMBER,UNI GZ,-0.1493,,8855
MEMBER,UNI GZ,-0.1493,,8856
MEMBER,UNI GZ,-0.1493,,8857
MEMBER,UNI GZ,-0.1493,,8858
MEMBER,UNI GZ,-0.1493,,8859
MEMBER,UNI GZ,-0.1493,,8860
MEMBER,UNI GZ,-0.1493,,8861
MEMBER,UNI GZ,-0.1493,,8862
MEMBER,UNI GZ,-0.1493,,8863
MEMBER,UNI GZ,-0.1493,,8864
MEMBER,UNI GZ,-0.1493,,8865
MEMBER,UNI GZ,-0.1493,,8982
MEMBER,UNI GZ,-0.1493,,8983
MEMBER,UNI GZ,-0.1493,,8984
MEMBER,UNI GZ,-0.1493,,8985
MEMBER,UNI GZ,-0.1493,,8986
MEMBER,UNI GZ,-0.1493,,8987
MEMBER,UNI GZ,-0.1493,,8988
MEMBER,UNI GZ,-0.1493,,8989
MEMBER,UNI GZ,-0.1493,,8990
MEMBER,UNI GZ,-0.1493,,8991
MEMBER,UNI GZ,-0.1493,,9042
MEMBER,UNI GZ,-0.1493,,9043
MEMBER,UNI GZ,-0.1493,,9044
MEMBER,UNI GZ,-0.1493,,9045
MEMBER,UNI GZ,-0.1493,,9046
MEMBER,UNI GZ,-0.1493,,9047
MEMBER,UNI GZ,-0.1493,,9048
MEMBER,UNI GZ,-0.1493,,9049
MEMBER,UNI GZ,-0.1493,,9050
MEMBER,UNI GZ,-0.1493,,9051
MEMBER,UNI GZ,-0.1493,,9743
MEMBER,UNI GZ,-0.1493,,9744
MEMBER,UNI GZ,-0.1493,,9745
MEMBER,UNI GZ,-0.1493,,9746
MEMBER,UNI GZ,-0.1493,,9761
MEMBER,UNI GZ,-0.1493,,9762
MEMBER,UNI GZ,-0.1493,,9763
MEMBER,UNI GZ,-0.1493,,9764
MEMBER,UNI GZ,-0.2985,,1860
MEMBER,UNI GZ,-0.2985,,1861
MEMBER,UNI GZ,-0.2985,,1862
MEMBER,UNI GZ,-0.2985,,1863
MEMBER,UNI GZ,-0.2985,,1864
MEMBER,UNI GZ,-0.2985,,1865
MEMBER,UNI GZ,-0.2985,,1866
MEMBER,UNI GZ,-0.2985,,1867
MEMBER,UNI GZ,-0.2985,,1902
MEMBER,UNI GZ,-0.2985,,1903
MEMBER,UNI GZ,-0.2985,,1904
MEMBER,UNI GZ,-0.2985,,1905
MEMBER,UNI GZ,-0.2985,,1906
MEMBER,UNI GZ,-0.2985,,1907
MEMBER,UNI GZ,-0.2985,,1908
MEMBER,UNI GZ,-0.2985,,1909
MEMBER,UNI GZ,-0.2985,,1926
MEMBER,UNI GZ,-0.2985,,1927
MEMBER,UNI GZ,-0.2985,,1928
MEMBER,UNI GZ,-0.2985,,1929
MEMBER,UNI GZ,-0.2985,,1930
MEMBER,UNI GZ,-0.2985,,1931
MEMBER,UNI GZ,-0.2985,,1932
MEMBER,UNI GZ,-0.2985,,1933
MEMBER,UNI GZ,-0.2985,,1934
MEMBER,UNI GZ,-0.2985,,1935
MEMBER,UNI GZ,-0.2985,,1936
MEMBER,UNI GZ,-0.2985,,1937
MEMBER,UNI GZ,-0.2985,,2120
MEMBER,UNI GZ,-0.2985,,2126
MEMBER,UNI GZ,-0.2985,,2162
MEMBER,UNI GZ,-0.2985,,2163
MEMBER,UNI GZ,-0.2985,,2164
MEMBER,UNI GZ,-0.2985,,2165
MEMBER,UNI GZ,-0.2985,,2166
MEMBER,UNI GZ,-0.2985,,2167
MEMBER,UNI GZ,-0.2985,,2198
MEMBER,UNI GZ,-0.2985,,2199
MEMBER,UNI GZ,-0.2985,,2200
MEMBER,UNI GZ,-0.2985,,2201
MEMBER,UNI GZ,-0.2985,,2202
MEMBER,UNI GZ,-0.2985,,2203
MEMBER,UNI GZ,-0.2985,,2220
MEMBER,UNI GZ,-0.2985,,2221
MEMBER,UNI GZ,-0.2985,,2222
MEMBER,UNI GZ,-0.2985,,2223
MEMBER,UNI GZ,-0.2985,,2224
MEMBER,UNI GZ,-0.2985,,2225
MEMBER,UNI GZ,-0.2985,,2226
MEMBER,UNI GZ,-0.2985,,2227
MEMBER,UNI GZ,-0.2985,,2228
MEMBER,UNI GZ,-0.2985,,2229
MEMBER,UNI GZ,-0.2985,,2230
MEMBER,UNI GZ,-0.2985,,2231
MEMBER,UNI GZ,-0.2985,,2358
MEMBER,UNI GZ,-0.2985,,2359
MEMBER,UNI GZ,-0.2985,,2360
MEMBER,UNI GZ,-0.2985,,2361
MEMBER,UNI GZ,-0.2985,,2362
MEMBER,UNI GZ,-0.2985,,2363
MEMBER,UNI GZ,-0.2985,,2393
MEMBER,UNI GZ,-0.2985,,2394
MEMBER,UNI GZ,-0.2985,,2395
MEMBER,UNI GZ,-0.2985,,2396
MEMBER,UNI GZ,-0.2985,,2397
MEMBER,UNI GZ,-0.2985,,2398
MEMBER,UNI GZ,-0.2985,,2457
MEMBER,UNI GZ,-0.2985,,2458
MEMBER,UNI GZ,-0.2985,,2480
MEMBER,UNI GZ,-0.2985,,2481
MEMBER,UNI GZ,-0.2985,,2489
MEMBER,UNI GZ,-0.2985,,2490
MEMBER,UNI GZ,-0.2985,,2519
MEMBER,UNI GZ,-0.2985,,2520
MEMBER,UNI GZ,-0.2985,,2528
MEMBER,UNI GZ,-0.2985,,2529
MEMBER,UNI GZ,-0.2985,,2551
MEMBER,UNI GZ,-0.2985,,2552
MEMBER,UNI GZ,-0.2985,,2653
MEMBER,UNI GZ,-0.2985,,2654
MEMBER,UNI GZ,-0.2985,,2655
MEMBER,UNI GZ,-0.2985,,2656
MEMBER,UNI GZ,-0.2985,,2657
MEMBER,UNI GZ,-0.2985,,2677
MEMBER,UNI GZ,-0.2985,,2678
MEMBER,UNI GZ,-0.2985,,2679
MEMBER,UNI GZ,-0.2985,,2680
MEMBER,UNI GZ,-0.2985,,2681
MEMBER,UNI GZ,-0.2985,,2698
MEMBER,UNI GZ,-0.2985,,2699
MEMBER,UNI GZ,-0.2985,,2700
MEMBER,UNI GZ,-0.2985,,2701
MEMBER,UNI GZ,-0.2985,,2702
MEMBER,UNI GZ,-0.2985,,2703
MEMBER,UNI GZ,-0.2985,,2704
MEMBER,UNI GZ,-0.2985,,2705
MEMBER,UNI GZ,-0.2985,,2706
MEMBER,UNI GZ,-0.2985,,2707
MEMBER,UNI GZ,-0.2985,,2708
MEMBER,UNI GZ,-0.2985,,2709
MEMBER,UNI GZ,-0.2985,,2831
MEMBER,UNI GZ,-0.2985,,2832
MEMBER,UNI GZ,-0.2985,,2833
MEMBER,UNI GZ,-0.2985,,2834
MEMBER,UNI GZ,-0.2985,,2835
MEMBER,UNI GZ,-0.2985,,2855
MEMBER,UNI GZ,-0.2985,,2856
MEMBER,UNI GZ,-0.2985,,2857
MEMBER,UNI GZ,-0.2985,,2858
MEMBER,UNI GZ,-0.2985,,2859
MEMBER,UNI GZ,-0.2985,,2876
MEMBER,UNI GZ,-0.2985,,2877
MEMBER,UNI GZ,-0.2985,,2878
MEMBER,UNI GZ,-0.2985,,2879
MEMBER,UNI GZ,-0.2985,,2880
MEMBER,UNI GZ,-0.2985,,2881
MEMBER,UNI GZ,-0.2985,,2882
MEMBER,UNI GZ,-0.2985,,2883
MEMBER,UNI GZ,-0.2985,,2884
MEMBER,UNI GZ,-0.2985,,2885
MEMBER,UNI GZ,-0.2985,,2886
MEMBER,UNI GZ,-0.2985,,2887
MEMBER,UNI GZ,-0.2985,,8241
MEMBER,UNI GZ,-0.2985,,8242
MEMBER,UNI GZ,-0.2985,,8243
MEMBER,UNI GZ,-0.2985,,8244
MEMBER,UNI GZ,-0.2985,,8245
MEMBER,UNI GZ,-0.2985,,8246
MEMBER,UNI GZ,-0.2985,,8247
MEMBER,UNI GZ,-0.2985,,8248
MEMBER,UNI GZ,-0.2985,,8249
MEMBER,UNI GZ,-0.2985,,8250
MEMBER,UNI GZ,-0.2985,,8251
MEMBER,UNI GZ,-0.2985,,8252
MEMBER,UNI GZ,-0.2985,,8400
MEMBER,UNI GZ,-0.2985,,8401
MEMBER,UNI GZ,-0.2985,,8402
MEMBER,UNI GZ,-0.2985,,8403
MEMBER,UNI GZ,-0.2985,,8404
MEMBER,UNI GZ,-0.2985,,8405
MEMBER,UNI GZ,-0.2985,,8406
MEMBER,UNI GZ,-0.2985,,8407
MEMBER,UNI GZ,-0.2985,,8408
MEMBER,UNI GZ,-0.2985,,8409
MEMBER,UNI GZ,-0.2985,,8410
MEMBER,UNI GZ,-0.2985,,8411
MEMBER,UNI GZ,-0.2985,,8482
MEMBER,UNI GZ,-0.2985,,8483
MEMBER,UNI GZ,-0.2985,,8505
MEMBER,UNI GZ,-0.2985,,8506
MEMBER,UNI GZ,-0.2985,,8514
MEMBER,UNI GZ,-0.2985,,8515
MEMBER,UNI GZ,-0.2985,,8544
MEMBER,UNI GZ,-0.2985,,8545
MEMBER,UNI GZ,-0.2985,,8553
MEMBER,UNI GZ,-0.2985,,8554
MEMBER,UNI GZ,-0.2985,,8576
MEMBER,UNI GZ,-0.2985,,8577
MEMBER,UNI GZ,-0.2985,,8648
MEMBER,UNI GZ,-0.2985,,8649
MEMBER,UNI GZ,-0.2985,,8650
MEMBER,UNI GZ,-0.2985,,8651
MEMBER,UNI GZ,-0.2985,,8652
MEMBER,UNI GZ,-0.2985,,8653
MEMBER,UNI GZ,-0.2985,,8654
MEMBER,UNI GZ,-0.2985,,8655
MEMBER,UNI GZ,-0.2985,,8656
MEMBER,UNI GZ,-0.2985,,8657
MEMBER,UNI GZ,-0.2985,,8658
MEMBER,UNI GZ,-0.2985,,8659
MEMBER,UNI GZ,-0.2985,,8751
MEMBER,UNI GZ,-0.2985,,8752
MEMBER,UNI GZ,-0.2985,,8753
MEMBER,UNI GZ,-0.2985,,8754
MEMBER,UNI GZ,-0.2985,,8755
MEMBER,UNI GZ,-0.2985,,8756
MEMBER,UNI GZ,-0.2985,,8757
MEMBER,UNI GZ,-0.2985,,8758
MEMBER,UNI GZ,-0.2985,,8759
MEMBER,UNI GZ,-0.2985,,8760
MEMBER,UNI GZ,-0.2985,,8761
MEMBER,UNI GZ,-0.2985,,8762
MEMBER,UNI GZ,-0.2985,,9315
MEMBER,UNI GZ,-0.2985,,9316
MEMBER,UNI GZ,-0.2985,,9317
MEMBER,UNI GZ,-0.2985,,9318
MEMBER,UNI GZ,-0.2985,,9319
MEMBER,UNI GZ,-0.2985,,9320
MEMBER,UNI GZ,-0.2985,,9321
MEMBER,UNI GZ,-0.2985,,9322
MEMBER,UNI GZ,-0.2985,,9357
MEMBER,UNI GZ,-0.2985,,9358
MEMBER,UNI GZ,-0.2985,,9359
MEMBER,UNI GZ,-0.2985,,9360
MEMBER,UNI GZ,-0.2985,,9361
MEMBER,UNI GZ,-0.2985,,9362
MEMBER,UNI GZ,-0.2985,,9363
MEMBER,UNI GZ,-0.2985,,9364
MEMBER,UNI GZ,-0.2985,,9421
MEMBER,UNI GZ,-0.2985,,9427
MEMBER,UNI GZ,-0.2985,,9442
MEMBER,UNI GZ,-0.2985,,9443
MEMBER,UNI GZ,-0.2985,,9444
MEMBER,UNI GZ,-0.2985,,9445
MEMBER,UNI GZ,-0.2985,,9446
MEMBER,UNI GZ,-0.2985,,9447
MEMBER,UNI GZ,-0.2985,,9478
MEMBER,UNI GZ,-0.2985,,9479
MEMBER,UNI GZ,-0.2985,,9480
MEMBER,UNI GZ,-0.2985,,9481
MEMBER,UNI GZ,-0.2985,,9482
MEMBER,UNI GZ,-0.2985,,9483
MEMBER,UNI GZ,-0.2985,,9540
MEMBER,UNI GZ,-0.2985,,9541
MEMBER,UNI GZ,-0.2985,,9542
MEMBER,UNI GZ,-0.2985,,9543
MEMBER,UNI GZ,-0.2985,,9544
MEMBER,UNI GZ,-0.2985,,9545
MEMBER,UNI GZ,-0.2985,,9575
MEMBER,UNI GZ,-0.2985,,9576
MEMBER,UNI GZ,-0.2985,,9577
MEMBER,UNI GZ,-0.2985,,9578
MEMBER,UNI GZ,-0.2985,,9579
MEMBER,UNI GZ,-0.2985,,9580
MEMBER,UNI GZ,-0.2985,,9625
MEMBER,UNI GZ,-0.2985,,9626
MEMBER,UNI GZ,-0.2985,,9627
MEMBER,UNI GZ,-0.2985,,9628
MEMBER,UNI GZ,-0.2985,,9629
MEMBER,UNI GZ,-0.2985,,9649
MEMBER,UNI GZ,-0.2985,,9650
MEMBER,UNI GZ,-0.2985,,9651
MEMBER,UNI GZ,-0.2985,,9652
MEMBER,UNI GZ,-0.2985,,9653
MEMBER,UNI GZ,-0.2985,,9684
MEMBER,UNI GZ,-0.2985,,9685
MEMBER,UNI GZ,-0.2985,,9686
MEMBER,UNI GZ,-0.2985,,9687
MEMBER,UNI GZ,-0.2985,,9688
MEMBER,UNI GZ,-0.2985,,9708
MEMBER,UNI GZ,-0.2985,,9709
MEMBER,UNI GZ,-0.2985,,9710
MEMBER,UNI GZ,-0.2985,,9711
MEMBER,UNI GZ,-0.2985,,9712
MEMBER,UNI GZ,-0.2985,,633
MEMBER,UNI GZ,-0.2985,,634
MEMBER,UNI GZ,-0.2985,,765
MEMBER,UNI GZ,-0.2985,,766
MEMBER,UNI GZ,-0.2985,,1867
MEMBER,UNI GZ,-0.2985,,1902
MEMBER,UNI GZ,-0.2985,,7688
MEMBER,UNI GZ,-0.2985,,7689
MEMBER,UNI GZ,-0.2985,,7690
MEMBER,UNI GZ,-0.2985,,7761
MEMBER,UNI GZ,-0.2985,,7762
MEMBER,UNI GZ,-0.2985,,9322
MEMBER,UNI GZ,-0.2985,,9357
MEMBER,UNI GZ,-0.26,,1227
MEMBER,UNI GZ,-0.26,,1228
MEMBER,UNI GZ,-0.26,,1229
MEMBER,UNI GZ,-0.26,,1230
MEMBER,UNI GZ,-0.26,,1231
MEMBER,UNI GZ,-0.26,,1232
MEMBER,UNI GZ,-0.26,,1233
MEMBER,UNI GZ,-0.26,,1234
MEMBER,UNI GZ,-0.26,,1235
MEMBER,UNI GZ,-0.26,,1236
MEMBER,UNI GZ,-0.26,,1237
MEMBER,UNI GZ,-0.26,,1238
MEMBER,UNI GZ,-0.26,,1299
MEMBER,UNI GZ,-0.26,,1300
MEMBER,UNI GZ,-0.26,,1301
MEMBER,UNI GZ,-0.26,,1302
MEMBER,UNI GZ,-0.26,,1303
MEMBER,UNI GZ,-0.26,,1304
MEMBER,UNI GZ,-0.26,,1305
MEMBER,UNI GZ,-0.26,,1306
MEMBER,UNI GZ,-0.26,,1307
MEMBER,UNI GZ,-0.26,,1308
MEMBER,UNI GZ,-0.26,,1309
MEMBER,UNI GZ,-0.26,,1310
MEMBER,UNI GZ,-0.26,,1938
MEMBER,UNI GZ,-0.26,,1939
MEMBER,UNI GZ,-0.26,,1950
MEMBER,UNI GZ,-0.26,,1951
MEMBER,UNI GZ,-0.26,,2127
MEMBER,UNI GZ,-0.26,,2133
MEMBER,UNI GZ,-0.26,,2232
MEMBER,UNI GZ,-0.26,,2233
MEMBER,UNI GZ,-0.26,,2244
MEMBER,UNI GZ,-0.26,,2245
MEMBER,UNI GZ,-0.26,,2553
MEMBER,UNI GZ,-0.26,,2554
MEMBER,UNI GZ,-0.26,,2555
MEMBER,UNI GZ,-0.26,,2556
MEMBER,UNI GZ,-0.26,,2577
MEMBER,UNI GZ,-0.26,,2578
MEMBER,UNI GZ,-0.26,,2579
MEMBER,UNI GZ,-0.26,,2580
MEMBER,UNI GZ,-0.26,,2710
MEMBER,UNI GZ,-0.26,,2716
MEMBER,UNI GZ,-0.26,,2888
MEMBER,UNI GZ,-0.26,,2894
MEMBER,UNI GZ,-0.26,,5749
MEMBER,UNI GZ,-0.26,,5750
MEMBER,UNI GZ,-0.26,,5751
MEMBER,UNI GZ,-0.26,,5752
MEMBER,UNI GZ,-0.26,,5753
MEMBER,UNI GZ,-0.26,,5754
MEMBER,UNI GZ,-0.26,,5755
MEMBER,UNI GZ,-0.26,,5756
MEMBER,UNI GZ,-0.26,,5757
MEMBER,UNI GZ,-0.26,,5758
MEMBER,UNI GZ,-0.26,,5759
MEMBER,UNI GZ,-0.26,,5760
MEMBER,UNI GZ,-0.26,,5821
MEMBER,UNI GZ,-0.26,,5822
MEMBER,UNI GZ,-0.26,,5823
MEMBER,UNI GZ,-0.26,,5824
MEMBER,UNI GZ,-0.26,,5825
